Hymnal,Number,Name,TranslationNumber_HymnalE
BB,BB118,Umsindisi uyandithanda,
BB,BB119,Uthixo uluhando,
BB,BB12,Come and sing my joyful song,
BB,BB120,Wen’ undithadayo,
BB,BB13,Come ye children come,
BB,BB14,Day by day,
BB,BB15,Easter joy,
BB,BB16,Evening Prayer,
BB,BB17,Faithful Shepherd, feed me,
BB,BB18,Fear not, O little flock,
BB,BB19,Footsteps of Jesus,
BB,BB2,A Gard’ner tends His garden,
BB,BB20,For the unborn,
BB,BB21,Glorious,
BB,BB22,Glory to God,
BB,BB23,Come everyone and join our song,
BB,BB24,God of mercy, God of grace,
BB,BB25,God will take care of you,
BB,BB26,Good Christians, now rejoice,
BB,BB27,He,
BB,BB28,He walked on earth,
BB,BB29,He's got the whole world in His hands,
BB,BB3,A new commandment,
BB,BB30,Hear my prayer,
BB,BB31,Hello little King,
BB,BB32,How do I thank my Lord?,
BB,BB33,I am Jesus’ little friend,
BB,BB34,I come to the garden,
BB,BB35,I found a friend in Jesus,
BB,BB36,I have a loving Father,
BB,BB37,I have a song I love to sing,
BB,BB38,I sing praises,
BB,BB39,I’ll seek the Lord early,
BB,BB4,A Song for you,
BB,BB40,I’m so happy,
BB,BB41,If I had been in Bethlehem,
BB,BB42,If I planted a Garden,
BB,BB43,In moments like these,
BB,BB44,It came upon a midnight clear,
BB,BB45,Jesus our Lord,
BB,BB46,Jesus fount of love,
BB,BB47,Joy to the World,
BB,BB48,Joybells,
BB,BB48,Joybells,
BB,BB49,Lamb of God I look to You,
BB,BB5,All things bright and beautiful,
BB,BB50,Lord, do come soon,
BB,BB51,Lord make my life a little light,
BB,BB52,May the heav’nly Father bless you,
BB,BB53,My Jesus, I love Thee,
BB,BB54,Never lose the golden rule,
BB,BB55,O beautiful Easter,
BB,BB56,O bless this gift,
BB,BB57,O come, ye little children,
BB,BB58,O holy night,
BB,BB59,Oh, how I love Jesus,
BB,BB6,Am I standing alone,
BB,BB60,Peace, peace, peace,
BB,BB61,Praise Him, Praise Him,
BB,BB62,Praise, my soul, the King of heaven,
BB,BB63,Search, ponder and pray,
BB,BB64,Seeing I am Jesus’ lamb,
BB,BB65,Seek ye first,
BB,BB66,Shall I meet you at the fountain,
BB,BB67,Shining brightly,
BB,BB68,Softly a shepherd is singing,
BB,BB69,Sweetly the bells are ringing,
BB,BB7,As now Your children,
BB,BB70,Thank the Lord for all His goodness,
BB,BB71,The daylight is fading,
BB,BB72,In the garden of my Lord,
BB,BB73,The Lord’s prayer,
BB,BB74,There lives in my heart a song,
BB,BB75,There’s a song in my soul,
BB,BB76,Thou tender, loving, faithful Lord,
BB,BB77,We have a gentle Shepherd,
BB,BB78,When a child is born,
BB,BB79,When I am baptized,
BB,BB8,Away in a Manger,
BB,BB80,You gave me a name,
BB,BB81,As die heiland,
BB,BB82,As ek Jesus skapie is,
BB,BB83,Die heiland is gebore,
BB,BB84,Die Heer is my herder,
BB,BB85,Ek dank u Heer,
BB,BB86,Ek het u life my heer,
BB,BB87,Ek wil sing van my Heer,
BB,BB88,God, my Heer,
BB,BB89,God van liefde,
BB,BB9,Christ, who once among us,
BB,BB90,Het jy ‘n plek vir Jesus,
BB,BB91,Hoor sy roepstem,
BB,BB92,Jesus ons Redder,
BB,BB93,Jubelklanke,
BB,BB94,Kindergebed,
BB,BB95,Kindjie klein, O loof die Heer,
BB,BB96,Kleine druppels water,
BB,BB97,Kom on sing ‘n lied vir Jesus,
BB,BB98,Laat on seer bring tot die skepper,
BB,BB99,Laat ons harte altyd vrolik,
E,E1,Adoration,
E,E10,God of mercy, God of grace,
